source	field	rows	filled_rows	coverage	likely_present	likely_absent	p_present_nahuatl	p_not_nahuatl	p_present_spanish	p_not_spanish	p_present_french	p_not_french	p_present_latin	p_not_latin	p_present_english	p_not_english	p_present_greek	p_not_greek	top_evidence
2021 Wimmer	Comentario	42464	42464	1.0000	nahuatl,french	latin,greek	0.6468	0.3532	0.1272	0.8728	0.8084	0.1916	0.0001	0.9999	0.2257	0.7743	0.0000	1.0000	nahuatl:in=33195|zan=6453; spanish:de=51250|la=26095|le=17079; french:sur=25532|dit=10884; latin:vel=24|gracilis=3|pluralis=3; english:form=16900|the=10464; greek:greek-script=1
2021 Wimmer	Comentario (es)	42464	42464	1.0000	nahuatl,spanish	french,latin,greek	0.6476	0.3524	0.8524	0.1476	0.0028	0.9972	0.0001	0.9999	0.1181	0.8819	0.0000	1.0000	nahuatl:in=30213|zan=6602; spanish:de=80009|el=56853; french:tambien=3848|simeon=1299|el=1186; latin:vel=24|gracilis=3|pluralis=3; english:be=68|the=67; greek:griego=3|greek-script=1
2021 Wimmer	Comentario_wimmer_plus_html	42464	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
2021 Wimmer	all_public_text	42464	42464	1.0000	nahuatl,spanish,french	latin,greek	0.8349	0.1651	0.9834	0.0166	0.9764	0.0236	0.0002	0.9998	0.3177	0.6823	0.0000	1.0000	nahuatl:in=63781; spanish:de=159961|el=69931|la=69842; french:sur=28161; latin:vel=48|gracilis=8|pluralis=6; english:form=16906; greek:griego=5|greek-script=2
V94 Diccionario Global SNP	Original	29997	29997	1.0000	nahuatl	spanish,french,latin,english,greek	0.9506	0.0494	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:amo=906|itech=208
V94 Diccionario Global SNP	Editado	29997	29997	1.0000	nahuatl	spanish,french,latin,english,greek	0.9558	0.0442	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:amo=940|tlein=533
V94 Diccionario Global SNP	Traducción	29997	29997	1.0000	spanish	nahuatl,french,latin,english,greek	0.0167	0.9833	0.8402	0.1598	0.0084	0.9916	0.0000	1.0000	0.0001	0.9999	0.0000	1.0000	nahuatl:no=1135|mexico=653|humano=87; spanish:de=15731|el=8898; french:mexico=653|el=224|cafe=177; latin:gracilis=1; english:artificial=9|made=1; greek:griego=2|griega=2
V94 Diccionario Global SNP	Traducción (es)	29997	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
V94 Diccionario Global SNP	Comentario	29997	29997	1.0000	spanish	nahuatl,french,latin,english,greek	0.0030	0.9970	0.5042	0.4958	0.0007	0.9993	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	nahuatl:amo=310|itech=38|in=18; spanish:nombre=12408|expresion=471; french:okse=4|uiyak=4|uikakkej=4
V94 Diccionario Global SNP	Comentario (es)	29997	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
V94 Diccionario Global SNP	Comentario_wimmer_plus_html	29997	0	0.0000		nahuatl,spanish,french,latin,english,greek	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	
V94 Diccionario Global SNP	all_public_text	29997	29997	1.0000	spanish	nahuatl,french,latin,english,greek	0.0195	0.9805	0.9213	0.0787	0.0091	0.9909	0.0000	1.0000	0.0001	0.9999	0.0000	1.0000	nahuatl:no=1148|mexico=653|amo=336; spanish:de=15744; french:mexico=653|el=224|cafe=177; latin:gracilis=1; english:artificial=9|made=1; greek:griego=2|griega=2
